time                     signal
0.000000000000000000e+00 1.208721311121388364e+00
6.283185307179586614e-03 1.208524005375646748e+00
1.256637061435917323e-02 1.207933122945394233e+00
1.884955592153875897e-02 1.206951758516047635e+00
2.513274122871834645e-02 1.205585037553673411e+00
3.141592653589793394e-02 1.203840068169563127e+00
3.769911184307751795e-02 1.201725874483989820e+00
4.398229715025710196e-02 1.199253312231516322e+00
5.026548245743669291e-02 1.196434967546847306e+00
5.654866776461628386e-02 1.193285040055487300e+00
6.283185307179586787e-02 1.189819211565121826e+00
6.911503837897543800e-02 1.186054501809722161e+00
7.539822368615503589e-02 1.182009112836899911e+00
8.168140899333463378e-02 1.177702263748512612e+00
8.796459430051420392e-02 1.173154017603423638e+00
9.424777960769378793e-02 1.168385102368606043e+00
1.005309649148733858e-01 1.163416727859557742e+00
1.068141502220529698e-01 1.158270400642660292e+00
1.130973355292325677e-01 1.152967738880427584e+00
1.193805208364121379e-01 1.147530289085539668e+00
1.256637061435917357e-01 1.141979346711373688e+00
1.319468914507713198e-01 1.136335782446164178e+00
1.382300767579508760e-01 1.130619875995602541e+00
1.445132620651304878e-01 1.124851159035954673e+00
1.507964473723100718e-01 1.119048268897854026e+00
1.570796326794896558e-01 1.113228814401524991e+00
1.633628179866692676e-01 1.107409255109085500e+00
1.696460032938488238e-01 1.101604795090792122e+00
1.759291886010284078e-01 1.095829292121802689e+00
1.822123739082080196e-01 1.090095183036496662e+00
1.884955592153875759e-01 1.084413425771116657e+00
1.947787445225671599e-01 1.078793458424804896e+00
2.010619298297467716e-01 1.073243175466663146e+00
2.073451151369263556e-01 1.067768921014670802e+00
2.136283004441059397e-01 1.062375498913709970e+00
2.199114857512855514e-01 1.057066199146972529e+00
2.261946710584651354e-01 1.051842839930012818e+00
2.324778563656446917e-01 1.046705824661878781e+00
2.387610416728242757e-01 1.041654212745200203e+00
2.450442269800038597e-01 1.036685803138713169e+00
2.513274122871834715e-01 1.031797229373189628e+00
2.576105975943630555e-01 1.026984064646576877e+00
2.638937829015426395e-01 1.022240935517654714e+00
2.701769682087222235e-01 1.017561642640596453e+00
2.764601535159017520e-01 1.012939286926341831e+00
2.827433388230813915e-01 1.008366399481010811e+00
2.890265241302609756e-01 1.003835073657034949e+00
2.953097094374405596e-01 9.993370975590577521e-01
3.015928947446201436e-01 9.948640853737894529e-01
3.078760800517997276e-01 9.904076059400938048e-01
3.141592653589793116e-01 9.859593070419837568e-01
3.204424506661588956e-01 9.815110339916522930e-01
3.267256359733385351e-01 9.770549411709669174e-01
3.330088212805180636e-01 9.725835953164067016e-01
3.392920065876976476e-01 9.680900694625735881e-01
3.455751918948772317e-01 9.635680266012746076e-01
3.518583772020568157e-01 9.590117922647559690e-01
3.581415625092364552e-01 9.544164154008916157e-01
3.644247478164160392e-01 9.497777170727911278e-01
3.707079331235956232e-01 9.450923266831858793e-01
3.769911184307751517e-01 9.403577055928381556e-01
3.832743037379547357e-01 9.355721581698623890e-01
3.895574890451343197e-01 9.307348304710727493e-01
3.958406743523139593e-01 9.258456969151642735e-01
4.021238596594935433e-01 9.209055354586810349e-01
4.084070449666731273e-01 9.159158919274255073e-01
4.146902302738527113e-01 9.108790342865010770e-01
4.209734155810322953e-01 9.057978977499464568e-01
4.272566008882118793e-01 9.006760217345792796e-01
4.335397861953914633e-01 8.955174797509984908e-01
4.398229715025711029e-01 8.903268033967758344e-01
4.461061568097506869e-01 8.851089016719605462e-01
4.523893421169302709e-01 8.798689768746290607e-01
4.586725274241097439e-01 8.746124383541192815e-01
4.649557127312893834e-01 8.693448154017460183e-01
4.712388980384689674e-01 8.640716705434969835e-01
4.775220833456485514e-01 8.587985144668598414e-01
4.838052686528281354e-01 8.535307237653021462e-01
4.900884539600077194e-01 8.482734626198472627e-01
4.963716392671873034e-01 8.430316094588516940e-01
5.026548245743669430e-01 8.378096895457005644e-01
5.089380098815464715e-01 8.326118143412211126e-01
5.152211951887261110e-01 8.274416283747091372e-01
5.215043804959056395e-01 8.223022642363067014e-01
5.277875658030852790e-01 8.171963061758475977e-01
5.340707511102649185e-01 8.121257626610712821e-01
5.403539364174444470e-01 8.070920481132021207e-01
5.466371217246240866e-01 8.020959739022145429e-01
5.529203070318035040e-01 7.971377485495529935e-01
5.592034923389831436e-01 7.922169869545343523e-01
5.654866776461627831e-01 7.873327283339112137e-01
5.717698629533423116e-01 7.824834624438110620e-01
5.780530482605219511e-01 7.776671635411410710e-01
5.843362335677014796e-01 7.728813314389468836e-01
5.906194188748811191e-01 7.681230389185185192e-01
5.969026041820606476e-01 7.633889846813394220e-01
6.031857894892402872e-01 7.586755509572534750e-01
6.094689747964199267e-01 7.539788648322549580e-01
6.157521601035994552e-01 7.492948623206120429e-01
6.220353454107790947e-01 7.446193541820097517e-01
6.283185307179586232e-01 7.399480924751545841e-01
6.346017160251382627e-01 7.352768368447498704e-01
6.408849013323177912e-01 7.306014195586737481e-01
